price_raw,title,location,status,availability,property_type,beds,baths,author,post-date,listing_url,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,area(sqm),Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna
"N250,000,000",5-Bedroom Fully Detached Duplex for Sale in Ajah,AJAH,Sale,sale,Detached,2.0,5.0,admin-cw,5 months ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-for-sale-in-ajah/,,,,,,,,,,,,True,,,,,,,True,,,,,,True,,,,,,,,
"6,000,000",2-Bedroom Apartment,Agungi,Rent,rent,Apartment,2.0,2.0,Peter Ogunremi,6 months ago,https://cwlagos.com/property/2-bedroom-apartment-9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#170,000,000",Brand New 4 Bedroom Semi-Detached Home with BQ,"Agungi, Lekki, Lagos.",Sale,sale,Semi Detached,4.0,4.0,Peter Ogunremi,10 months ago,https://cwlagos.com/property/brand-new-4-bedroom-semi-detached-home-with-bq/,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,,,,,,,,,,,,
"NGN2,700,000","Prime 6,000SQM Bareland in Ikoyi",Alexander road Ikoyi,Sale,sale,,,,admin-cw,5 months ago,https://cwlagos.com/property/prime-6000sqm-bareland-on-alexander-road-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,300,000,000",Beach front property,Alpha beach road,Sale,sale,,,,Peter Ogunremi,7 months ago,https://cwlagos.com/property/beach-front-property/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$2500000,TERRACE IN BANANA ISLAND IKOYI,BANANA ISLAND IKOYI,Sale,sale,Terraced,5.0,5.0,admin-cw,5 months ago,https://cwlagos.com/property/terrace-for-sale-in-banana-island-ikoyi/,,,,,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,
"NGN3,500,000","Waterfront Land in Banana Island, Ikoyi",Banana Island,Sale,sale,,,,admin-cw,4 months ago,https://cwlagos.com/property/waterfront-land-in-banana-island-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN3,200,000","Waterfront Land in Banana Island, Ikoyi",Banana Island,Sale,sale,,,,admin-cw,4 months ago,https://cwlagos.com/property/waterfront-land-in-banana-island-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN3,600,000",Land Measuring 700m² in Banana island,Banana Island,Sale,sale,,,,admin-cw,5 months ago,https://cwlagos.com/property/land-measuring-700m%c2%b2-in-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN5,200,000,000",Six Bedroom Fully Detached house in Banana Island,Banana Island,Sale,sale,Detached,,,admin-cw,5 months ago,https://cwlagos.com/property/six-bedroom-fully-detached-house-in-banana-island/,,,,,,,,,,,,,,True,,,,,True,,,,,,True,,,,,,,,
"NGN3,200,000",Lands Measuring 1201 and 1386sqm in Banana Island,Banana Island,Sale,sale,,,,admin-cw,4 months ago,https://cwlagos.com/property/lands-measuring-1201-and-1386sqm-in-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN4,000,000",Joint Venture Opportunity – Residential Waterfront Land in Banana Island,Banana Island,Joint Venture,sale,,,,admin-cw,4 months ago,https://cwlagos.com/property/joint-venture-opportunity-residential-waterfront-land-in-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$5000000,6-Bedroom Detached House in Banana Island,Banana Island,Sale,sale,Detached,6.0,6.0,admin-cw,2 months ago,https://cwlagos.com/property/6-bedroom-detached-house-in-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land Measuring 600- 700sqm in Banana Island,Banana Island,Land,sale,,,,admin-cw,5 months ago,https://cwlagos.com/property/land-measuring-600-700sqm-in-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$5000000,5-Bedroom Detached House in Banana Island,Banana Island,Sale,sale,Detached,5.0,5.0,admin-cw,2 months ago,https://cwlagos.com/property/5-bedroom-detached-house-in-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN50,000,000",4-Bedroom + BQ | Banana Island,Banana Island,Rent,rent,Apartment,4.0,4.0,admin-cw,2 months ago,https://cwlagos.com/property/4-bedroom-bq-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$1000000,4-Bed Waterfront Maisonette in Ikoyi,Banana Island,Sale,sale,Maisonette,4.0,4.0,admin-cw,2 months ago,https://cwlagos.com/property/4-bed-waterfront-maisonette-in-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#11,000,000",1 Bedroom Apartment,Banana Island,Rent,rent,Apartment,1.0,1.0,Rose,7 months ago,https://cwlagos.com/property/1-bedroom-apartment/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,True,,,,,,,,,,,,
"#11,000,000",1 Bedroom Apartment,Banana Island,Rent,rent,Apartment,1.0,1.0,Rose,7 months ago,https://cwlagos.com/property/1-bedroom-apartment/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,True,,,,,,,,,,,,
