price_raw,title,location,status,availability,property_type,beds,baths,author,post-date,listing_url,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,area(sqm),Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna,price(NGN),price(millions_NGN),log_price_millions_NGN
"NGN GNGN  30,000,000",3 Bedroom Apartment + BQ,Banana Island,Rent,rent,Apartment,3.0,3.0,admin-cw,5 months ago,https://cwlagos.com/property/3-bedroom-apartment-bq-3/,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,,,,,,,30000000.0,30.0,3.4011973816621555
3616925000.0,TERRACE IN BANANA ISLAND IKOYI,Banana Island,Sale,sale,Terraced,5.0,5.0,admin-cw,5 months ago,https://cwlagos.com/property/terrace-for-sale-in-banana-island-ikoyi/,,,,,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,3616925000.0,3616.925,8.193379496321025
"NGN GNGN 3,500,000","Waterfront Land in Banana Island, Ikoyi",Banana Island,Sale,sale,,,,admin-cw,4 months ago,https://cwlagos.com/property/waterfront-land-in-banana-island-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000.0,3.5,1.252762968495368
"NGN GNGN 3,200,000","Waterfront Land in Banana Island, Ikoyi",Banana Island,Sale,sale,,,,admin-cw,4 months ago,https://cwlagos.com/property/waterfront-land-in-banana-island-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000.0,3.2,1.1631508098056809
2170155000.0,Brand New 5 Bedroom Semi-Detached House with Water View,Banana Island,Sale,sale,Semi Detached,5.0,5.0,Rose,1 year ago,https://cwlagos.com/property/brand-new-5-bedroom-semi-detached-house-with-water-view/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,True,,,,,True,,True,,,,2170155000.0,2170.155,7.682553872555035
"NGN GNGN 5,200,000,000",Six Bedroom Fully Detached house in Banana Island,Banana Island,Sale,sale,Detached,,,admin-cw,5 months ago,https://cwlagos.com/property/six-bedroom-fully-detached-house-in-banana-island/,,,,,,,,,,,,,,True,,,,,True,,,,,,True,,,,,,,,,5200000000.0,5200.0,8.556413904569519
"NGN GNGN 3,200,000",Lands Measuring 1201 and 1386sqm in Banana Island,Banana Island,Sale,sale,,,,admin-cw,4 months ago,https://cwlagos.com/property/lands-measuring-1201-and-1386sqm-in-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000.0,3.2,1.1631508098056809
"NGN GNGN 4,000,000",Joint Venture Opportunity – Residential Waterfront Land in Banana Island,Banana Island,Joint Venture,sale,,,,admin-cw,4 months ago,https://cwlagos.com/property/joint-venture-opportunity-residential-waterfront-land-in-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000.0,4.0,1.3862943611198906
"NGN GNGN  1,800,000,000",Land Measuring Two Plots of 500 sqm,Banana Island,Sale,sale,,,,Rose,5 months ago,https://cwlagos.com/property/land-measuring-two-plots-of-500-sqm/,True,,,,,True,True,,,,,True,,,,,,,,,True,,,,,,2 Plots of 500 sqm,,,,,,,1800000000.0,1800.0,7.495541943884256
7233850000.0,6-Bedroom Detached House in Banana Island,Banana Island,Sale,sale,Detached,6.0,6.0,admin-cw,2 months ago,https://cwlagos.com/property/6-bedroom-detached-house-in-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7233850000.0,7233.85,8.88652667688097
