price_raw,title,location,status,availability,property_type,beds,baths,author,post-date,listing_url,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,area(sqm),Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna
"NGN35,000,000",2 Bedroom Maisonette + BQ in Ikoyi,Ikoyi,For Rent,Available for rent,Maisonette,2,2,admin-cw,4 months ago,https://cwlagos.com/property/2-bedroom-maisonette-bq-in-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#35,000,000",4 Bedroom Furnished Apartment + BQ,"Ikoyi, Lagos.",For Rent,Available for rent,Apartment,4,4,admin-cw,8 months ago,https://cwlagos.com/property/4-bedroom-furnished-apartment-bq/,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
"#900,000,000",Luxury 3 Bedroom Maisonette with BQ,"Ikoyi, Lagos.",For Sale,Available for sale,Maisonette,3,3,Adeyemi Fowosire,8 months ago,https://cwlagos.com/property/luxury-3-bedroom-maisonette-with-bq/,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,
"N100,000,000",Luxury 5 Bedroom Detached House,"Banana Island, Ikoyi, Lagos.",For Rent,Available for sale,Detached,5,5,Adeyemi Fowosire,8 months ago,https://cwlagos.com/property/luxury-5-bedroom-detached-house-with-en-suite-bq/,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,True,True,True,,,,,,,
"$1,100,000",Exclusive 4 Bedroom Maisonette with Swimming Pool,"Ikoyi, Lagos.",For Sale,Available for sale,Maisonette,4,4,Adaeze Ajomiwe,8 months ago,https://cwlagos.com/property/exclusive-4-bedroom-maisonette-with-swimming-pool-2/,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,,True,True,,True,,,,,,,
"#950,000,000",2 units of 4 Bedroom Terrace with a BQ Each,"Ikoyi, Lagos.",For Sale,Available for sale,Terraced,4,4,Adeyemi Fowosire,8 months ago,https://cwlagos.com/property/2-units-of-4-bedroom-terrace-with-a-bq-each/,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,
"#1,500,000,000",Luxury 4 Bedroom Terrace with Private Rooftop Swimming Pool,"Old Ikoyi, Ikoyi, Lagos.",For Sale,Available for sale,Terraced,4,4,Rose,8 months ago,https://cwlagos.com/property/luxury-4-bedroom-terrace-with-private-rooftop-swimming-pool/,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,,True,,,,,,,,,,
"NGN30,000,000",4-bedroom terrace- Ikoyi,Ikoyi,For Rent,Available for rent,Terraced,3,3,admin-cw,5 minutes ago,https://cwlagos.com/property/4-bedroom-terrace-ikoyi-4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN55,000,000",3-Bedroom Apartment + BQ| Old Ikoyi,Old Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,20 minutes ago,https://cwlagos.com/property/3-bedroom-apartment-bq-old-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN40,000,000",5-Bedroom Terrace| Osborne Phase 2,Ikoyi,For Rent,Available for rent,Terraced,5,5,admin-cw,36 minutes ago,https://cwlagos.com/property/5-bedroom-terrace-osborne-phase-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN40,000,000",2-Bedroom Apartment | Old Ikoyi,Ikoyi,For Rent,Available for rent,Apartment,2,2,admin-cw,60 minutes ago,https://cwlagos.com/property/2-bedroom-apartment-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN50,000,000",3 Bedroom Apartment- Ikoyi,Ikoyi,For Rent,Available for rent,Apartment,5,5,admin-cw,4 hours ago,https://cwlagos.com/property/3-bedroom-apartment-ikoyi-12/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN108,000,000",3 BEDROOM APARTMENT- IKOYI,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,4 days ago,https://cwlagos.com/property/3-bedroom-apartment-ikoyi-11/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN25,000,000",4-Bedroom Terrace – Ikoyi,Ikoyi,For Rent,Available for rent,Terraced,4,4,admin-cw,4 days ago,https://cwlagos.com/property/4-bedroom-terrace-ikoyi-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN250,000,000",3-Bedroom Apartment – Ikoyi,Ikoyi,For Sale,Available for sale,Apartment,3,3,admin-cw,4 days ago,https://cwlagos.com/property/3-bedroom-apartment-ikoyi-10/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN950,000,000",NEW DEVELOPMENTS IN IKOYI,Ikoyi,For Sale,Available for sale,Maisonette,4,4,admin-cw,6 days ago,https://cwlagos.com/property/new-developments-in-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN4,300,000,000",Prime Land in Banana Island,Ikoyi,For Sale,Available for sale,,,,admin-cw,6 days ago,https://cwlagos.com/property/prime-land-in-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,852,,,,,,
"NGN3,700,000",Residential Land- Banana Island,Ikoyi,For Sale,Available for sale,,,,admin-cw,6 days ago,https://cwlagos.com/property/residential-land-banana-island/,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,
"NGN3,500,000",Land Measuring 3300sqm- Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,6 days ago,https://cwlagos.com/property/land-measuring-3300sqm-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,,,,,,
"NGN3,000,000",Waterfront Land in Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,7 days ago,https://cwlagos.com/property/waterfront-land-in-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN3,500,000,000",Land Measuring 750sqm- Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,7 days ago,https://cwlagos.com/property/land-measuring-750sqm-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,
"NGN4,500,000,000",Land Measuring 875sqm- Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,7 days ago,https://cwlagos.com/property/land-measuring-875sqm-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,875,,,,,,
"NGN4,000,000",Prime Land in Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,7 days ago,https://cwlagos.com/property/prime-land-in-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN25,000,000",4-Bedroom Terrace with BQ- Ikoyi,Ikoyi,For Rent,Available for rent,Terraced,4,4,admin-cw,1 week ago,https://cwlagos.com/property/4-bedroom-terrace-with-bq-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN40,000,000",3 BEDROOM TERRACE HOUSE- IKOYI,Ikoyi,For Rent,Available for rent,Terraced,3,3,admin-cw,1 week ago,https://cwlagos.com/property/3-bedroom-terrace-house-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN200,000,000",WATERFRONT PENTHOUSE | IKOYI,Ikoyi,For Rent,Available for rent,Penthouse,5,5,admin-cw,1 week ago,https://cwlagos.com/property/waterfront-penthouse-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN20,000,000",5-BEDROOM TERRACE + BQ- IKOYI,Ikoyi,For Rent,Available for rent,Terraced,5,5,admin-cw,2 weeks ago,https://cwlagos.com/property/5-bedroom-terrace-bq-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN1,500,000,000",5-BEDROOM DETACHED DUPLEX- IKOYI,Ikoyi,For Sale,Available for sale,Detached,5,5,admin-cw,2 weeks ago,https://cwlagos.com/property/5-bedroom-detached-duplex-ikoyi-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$700000,5-BEDROOM LUXURY TERRACE- IKOYI,Ikoyi,For Sale,Available for sale,Terraced,5,5,admin-cw,2 weeks ago,https://cwlagos.com/property/5-bedroom-luxury-terrace-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN2,400,000,000",5-BEDROOM DETACHED DUPLEX-IKOYI,Ikoyi,For Sale,Available for sale,Detached,5,5,admin-cw,2 weeks ago,https://cwlagos.com/property/5-bedroom-detached-duplex-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN25,000,000",4-BEDROOM TERRACE DUPLEX- IKOYI,Ikoyi,For Rent,Available for rent,Terraced,4,4,admin-cw,2 weeks ago,https://cwlagos.com/property/4-bedroom-terrace-duplex-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN150,000,000",6 Units of 3-Bed Apartment- Ikoyi,Ikoyi,Corporate Lease,Available for rent,Apartment,3,3,admin-cw,2 weeks ago,https://cwlagos.com/property/6-units-of-3-bed-apartment-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$600000,LUXURY APARTMENTS- IKOYI,Ikoyi,For Sale,Available for sale,Apartment,2,2,admin-cw,2 weeks ago,https://cwlagos.com/property/luxury-apartments-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN7,000,000,000",JOINT VENTURE OPPORTUNITY | IKOYI,Ikoyi,For Sale,Available for sale,,,,admin-cw,2 weeks ago,https://cwlagos.com/property/joint-venture-opportunity-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,
"NGN3,500,000",Land Measuring 2419sqm- Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,2 weeks ago,https://cwlagos.com/property/land-measuring-2419sqm-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,2419,,,,,,
"NGN3,400,000",Land Measuring 1580sqm in Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,2 weeks ago,https://cwlagos.com/property/land-measuring-1580sqm-in-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,,,,,,
"NGN14,000,000,000",Land Measuring 3200sqm in Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,2 weeks ago,https://cwlagos.com/property/land-measuring-3200sqm-in-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,,,,,,
"NGN22,000,000",MINI FLAT | LEKKI PHASE 1,Ikoyi,For Rent,Available for rent,Mini Flat,,,admin-cw,2 weeks ago,https://cwlagos.com/property/mini-flat-lekki-phase-1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN32,000,000",3-BEDROOM APARTMENT| IKOYI,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,2 weeks ago,https://cwlagos.com/property/3-bedroom-apartment-ikoyi-9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN240,000,000",3-BEDROOM APARTMENTS | OLD IKOYI,Ikoyi,Corporate Lease,,Apartment,3,3,admin-cw,2 weeks ago,https://cwlagos.com/property/3-bedroom-apartments-old-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN15,000,000",3-BEDROOM APARTMENT +BQ | IKOYI,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,2 weeks ago,https://cwlagos.com/property/3-bedroom-apartment-bq-ikoyi-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$60000,3-BEDROOM APARTMENT– IKOYI,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,2 weeks ago,https://cwlagos.com/property/3-bedroom-apartment-ikoyi-8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN40,000,000","3-BED APARTMENT – BANANA ISLAND, IKOYI",Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,2 weeks ago,https://cwlagos.com/property/3-bed-apartment-banana-island-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN40,000,000",5-BEDROOM DETACHED DUPLEX – IKOYI,Ikoyi,For Rent,Available for rent,Detached,5,5,admin-cw,3 weeks ago,https://cwlagos.com/property/5-bedroom-detached-duplex-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN65,000,000","3-BED TERRACE APARTMENT – BANANA ISLAND, IKOYI",Ikoyi,For Rent,Available for rent,Terraced,3,3,admin-cw,3 weeks ago,https://cwlagos.com/property/3-bed-terrace-apartment-banana-island-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN25,000,000",3-BEDROOM APARTMENT – OLD IKOYI,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,3 weeks ago,https://cwlagos.com/property/3-bedroom-apartment-old-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN3,200,000",Land Measuring 1080sqm- Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,3 weeks ago,https://cwlagos.com/property/land-measuring-1080sqm-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,,,,,,
"NGN3,000,000",Land Measuring 750sqm- Ikoyi,Ikoyi,For Sale,Available for sale,,,,admin-cw,3 weeks ago,https://cwlagos.com/property/land-measuring-750sqm-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,
"NGN50,000,000",4-Bedroom Apartment in Ikoyi,Ikoyi,For Rent,Available for rent,Apartment,4,4,admin-cw,3 weeks ago,https://cwlagos.com/property/4-bedroom-apartment-in-ikoyi-6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN30,000,000",3-Bedroom Penthouse Apartment + BQ-Ikoyi,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,3 weeks ago,https://cwlagos.com/property/3-bedroom-penthouse-apartment-bq-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN25,000,000",3-Bedroom Apartment + BQ-Ikoyi,Ikoyi,For Rent,Available for rent,Apartment,3,3,admin-cw,3 weeks ago,https://cwlagos.com/property/3-bedroom-apartment-bq-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$300000,New Development Apartments- Ikoyi,Ikoyi,,Available for sale,Apartment,1,1,admin-cw,3 weeks ago,https://cwlagos.com/property/new-development-apartments-ikoyi-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGN3,000,000",JOINT VENTURE LAND- IKOYI,Ikoyi,For Sale,Available for sale,,,,admin-cw,3 weeks ago,https://cwlagos.com/property/joint-venture-land-ikoyi/,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,,,,,,
